Order;University;City;Tuition_fee;Department;Website;Ranking
11;ATATURK UNIVERSITY;ERZURUM;56011;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;https://atauni.edu.tr;11
12;ERCIYES UNIVERSITY;KAYSERI;24324;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://www.erciyes.edu.tr/;12
13;MARMARA UNIVERSITY;ISTANBUL;88371;FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical and Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy, Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;https://www.marmara.edu.tr/;13
14;IZMIR INSTITUTE OF HIGH TECHNOLOGY;IZMIR;9022;Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, CPD, Educational Research, Educational Administration, Educational Learning, Educational Psychology, Career Counselling, Coaching, Pedagogy, Adult Education, Childhood Education, Special Education, Teacher Training, Teaching, Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consultancy, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://iyte.edu.tr/;14
15;NINE SEPTEMBER UNIVERSITY;IZMIR;47825;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Geomatics Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television;www.deu.edu.tr;15
16;SELCUK UNIVERSITY;KONYA;79686;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Geomatics Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television;http://www.selcuk.edu.tr/;16
17;ESKISEHIR OSMANGAZI UNIVERSITY;ESKISEHIR;18014;Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, Public Administration, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science;http://www.ogu.edu.tr;17
18;KARADENIZ TECHNICAL UNIVERSITY;TRABZON;10848;Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, Public Administration, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science;http://www.ktu.edu.tr;18
19;MEDITERRANEAN UNIVERSITY;ANTALYA;14614;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Geomatics Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Interior Design, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;http://www.akdeniz.edu.tr;19
20;CUKUROVA UNIVERSITY;ADANA;11964;Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychological, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Commerce and logistics, Gastronomy, Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Interior Design, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://www.cu.edu.tr;20
